河北,#genre#
优漫卡通,http://111.63.77.70/gitv_live/G_YOUMAN/G_YOUMAN.m3u8?p=GITV&area=HBYD
哈哈炫动,http://111.63.77.70/gitv_live/G_XUANDONG/G_XUANDONG.m3u8?p=GITV&area=HBYD
嘉佳卡通,http://111.63.77.70/gitv_live/G_JIAJIA/G_JIAJIA.m3u8?p=GITV&area=HBYD
北京卫视,http://111.63.77.70/gitv_live/G_BEIJING-MD/G_BEIJING-MD.m3u8?p=GITV&area=HBYD
东方卫视,http://111.63.77.70/gitv_live/G_DONGFANG-MD/G_DONGFANG-MD.m3u8?p=GITV&area=HBYD
浙江卫视,http://111.63.77.70/gitv_live/G_ZHEJIANG-MD/G_ZHEJIANG-MD.m3u8?p=GITV&area=HBYD
江苏卫视,http://111.63.77.70/gitv_live/G_JIANGSU-MD/G_JIANGSU-MD.m3u8?p=GITV&area=HBYD
湖南卫视,http://111.63.77.70/gitv_live/G_HUNAN-MD/G_HUNAN-MD.m3u8?p=GITV&area=HBYD
辽宁卫视,http://111.63.77.70/gitv_live/G_LIAONING-MD/G_LIAONING-MD.m3u8?p=GITV&area=HBYD
重庆卫视,http://111.63.77.70/gitv_live/G_CHONGQING-CQ/G_CHONGQING-CQ.m3u8?p=GITV&area=HBYD
安徽卫视,http://111.63.77.70/gitv_live/G_ANHUI-MD/G_ANHUI-MD.m3u8?p=GITV&area=HBYD
湖北卫视,http://111.63.77.70/gitv_live/G_HUBEI-MD/G_HUBEI-MD.m3u8?p=GITV&area=HBYD
广东卫视,http://111.63.77.70/gitv_live/G_GUANGDONG-MD/G_GUANGDONG-MD.m3u8?p=GITV&area=HBYD
黑龙江卫视,http://111.63.77.70/gitv_live/G_HEILONGJIANG-CQ/G_HEILONGJIANG-CQ.m3u8?p=GITV&area=HBYD
深圳卫视,http://111.63.77.70/gitv_live/G_SHENZHEN-MD/G_SHENZHEN-MD.m3u8?p=GITV&area=HBYD
山东卫视,http://111.63.77.70/gitv_live/G_SHANDONG-MD/G_SHANDONG-MD.m3u8?p=GITV&area=HBYD
